Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State,revenue,employees
Walmart,"$500,343 ","$9,862.00 ","$204,522 ","2,300,000",Retailing,General Merchandisers,Bentonville,AR,500343.0,2300000
Exxon Mobil,"$244,363 ","$19,710.00 ","$348,691 ","71,200",Energy,Petroleum Refining,Irving,TX,244363.0,71200
Berkshire Hathaway,"$242,137 ","$44,940.00 ","$702,095 ","377,000",Financials,Insurance: Property and Casualty (Stock),Omaha,NE,242137.0,377000
Apple,"$229,234 ","$48,351.00 ","$375,319 ","123,000",Technology,"Computers, Office Equipment",Cupertino,CA,229234.0,123000
UnitedHealth Group,"$201,159 ","$10,558.00 ","$139,058 ","260,000",Health Care,Health Care: Insurance and Managed Care,Minnetonka,MN,201159.0,260000
McKesson,"$198,533 ","$5,070.00 ","$60,969 ","64,500",Wholesalers,Wholesalers: Health Care,SF,CA,198533.0,64500
CVS Health,"$184,765 ","$6,622.00 ","$95,131 ","203,000",Health Care,Health Care: Pharmacy and Other Services,Woonsocket,RI,184765.0,203000
Amazon.com,"$177,866 ","$3,033.00 ","$131,310 ","566,000",Retailing,Internet Services and Retailing,Seattle,WA,177866.0,566000
AT&T,"$160,546 ","$29,450.00 ","$444,097 ","254,000",Telecommunications,Telecommunications,Dallas,TX,160546.0,254000
General Motors,"$157,311 ","($3,864.00)","$212,482 ","180,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Detroit,MI,157311.0,180000
Ford Motor,"$156,776 ","$7,602.00 ","$257,808 ","202,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Dearborn,MI,156776.0,202000
AmerisourceBergen,"$153,144 ",$364.50 ,"$35,317 ","19,500",Wholesalers,Wholesalers: Health Care,Chesterbrook,PA,153144.0,19500
Chevron,"$134,533 ","$9,195.00 ","$253,806 ","51,900",Energy,Petroleum Refining,San Ramon,CA,134533.0,51900
Cardinal Health,"$129,976 ","$1,288.00 ","$40,112 ","40,400",Wholesalers,Wholesalers: Health Care,Dublin,OH,129976.0,40400
