Name,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector_x,Industry,City,State,Symbol,Sector_y,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
Berkshire Hathaway,"$242,137 ","$44,940.00 ","$702,095 ","377,000",Financials,Insurance: Property and Casualty (Stock),Omaha,NE,BRK.B,Financials,191.42,30.43,0.0,9.76,217.62,160.93,261401203633,0.0,1.4328232,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B
CVS Health,"$184,765 ","$6,622.00 ","$95,131 ","203,000",Health Care,Health Care: Pharmacy and Other Services,Woonsocket,RI,CVS,Consumer Staples,70.55,12.36,2.6899797999999997,4.91,84.0,66.45,75323141722,11704000000.0,0.549852,2.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS
General Motors,"$157,311 ","($3,864.00)","$212,482 ","180,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Detroit,MI,GM,Consumer Discretionary,40.75,6.58,3.5857513,6.0,46.76,31.92,61536606173,23541000000.0,0.5633218000000001,1.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM
Ford Motor,"$156,776 ","$7,602.00 ","$257,808 ","202,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Dearborn,MI,F,Consumer Discretionary,10.43,5.89,6.7843865999999995,1.9,13.48,10.19,42414328338,9281000000.0,0.27054095,1.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F
General Electric,"$122,274 ","($5,786.00)","$377,945 ","313,000",Industrials,Industrial Machinery,Boston,MA,GE,Industrials,14.45,13.76,3.147541,-0.72,30.59,14.71,132249296250,-206000000.0,1.0887611000000001,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GE
Walgreens Boots Alliance,"$118,214 ","$4,078.00 ","$66,009 ","290,000",Food &  Drug Stores,Food and Drug Stores,Deerfield,IL,WBA,Consumer Staples,68.22,13.38,2.2368238,3.78,88.0,63.82,70862541911,7083000000.0,0.5904388,3.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WBA
Home Depot,"$100,904 ","$8,630.00 ","$44,529 ","413,000",Retailing,Specialty Retailers: Other,Atlanta,GA,HD,Consumer Discretionary,181.22,28.1,1.8610487,6.46,207.605,136.82,223378633329,16513000000.0,2.8964397999999996,84.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD
Wells Fargo,"$97,741 ","$22,183.00 ","$1,951,757 ","262,700",Financials,Commercial Banks,SF,CA,WFC,Financials,55.4,13.58,2.7111576,4.07,66.31,49.27,281463620775,0.0,2.8728192000000004,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WFC
Phillips 66,"$91,568 ","$5,106.00 ","$54,371 ","14,600",Energy,Petroleum Refining,Houston,TX,PSX,Energy,92.44,21.11,2.9285639999999997,9.93,107.47,75.135,47996220000,5311000000.0,0.47499472,2.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSX
Valero Energy,"$88,407 ","$4,065.00 ","$50,158 ","10,015",Energy,Petroleum Refining,San Antonio,TX,VLO,Energy,86.77,18.74,3.5618877,9.24,99.95,60.69,39312309113,5401000000.0,0.42119179999999995,1.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLO
Johnson & Johnson,"$76,450 ","$1,300.00 ","$157,303 ","134,000",Health Care,Pharmaceuticals,New Brunswick,NJ,JNJ,Health Care,126.36,17.31,2.5566885,0.39,148.32,113.15,353062464971,22430000000.0,4.6326222,4.74,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ
Marathon Petroleum,"$67,610 ","$3,432.00 ","$49,047 ","43,800",Energy,Petroleum Refining,Findlay,OH,MPC,Energy,62.79,16.06,2.8268552000000002,6.85,73.53,47.39,31633740000,5978000000.0,0.42713487,2.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MPC
Procter & Gamble,"$66,217 ","$15,326.00 ","$120,406 ","95,000",Household Products,Household and Personal Products,Cincinnati,OH,PG,Consumer Staples,80.22,20.46,3.3704788999999997,5.6,94.67,80.1,206318943299,17249000000.0,3.1595004,3.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PG
