Company,Revenues ($M),Profits ($M),Assets ($M),Employees,Sector,Industry,City,State
Walmart,"$500,343 ","$9,862.00 ","$204,522 ","2,300,000",Retailing,General Merchandisers,Bentonville,AR
Exxon Mobil,"$244,363 ","$19,710.00 ","$348,691 ","71,200",Energy,Petroleum Refining,Irving,TX
Berkshire Hathaway,"$242,137 ","$44,940.00 ","$702,095 ","377,000",Financials,Insurance: Property and Casualty (Stock),Omaha,NE
Apple,"$229,234 ","$48,351.00 ","$375,319 ","123,000",Technology,"Computers, Office Equipment",Cupertino,CA
UnitedHealth Group,"$201,159 ","$10,558.00 ","$139,058 ","260,000",Health Care,Health Care: Insurance and Managed Care,Minnetonka,MN
McKesson,"$198,533 ","$5,070.00 ","$60,969 ","64,500",Wholesalers,Wholesalers: Health Care,SF,CA
CVS Health,"$184,765 ","$6,622.00 ","$95,131 ","203,000",Health Care,Health Care: Pharmacy and Other Services,Woonsocket,RI
Amazon.com,"$177,866 ","$3,033.00 ","$131,310 ","566,000",Retailing,Internet Services and Retailing,Seattle,WA
AT&T,"$160,546 ","$29,450.00 ","$444,097 ","254,000",Telecommunications,Telecommunications,Dallas,TX
General Motors,"$157,311 ","($3,864.00)","$212,482 ","180,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Detroit,MI
Ford Motor,"$156,776 ","$7,602.00 ","$257,808 ","202,000",Motor Vehicles &  Parts,Motor Vehicles and Parts,Dearborn,MI
AmerisourceBergen,"$153,144 ",$364.50 ,"$35,317 ","19,500",Wholesalers,Wholesalers: Health Care,Chesterbrook,PA
Chevron,"$134,533 ","$9,195.00 ","$253,806 ","51,900",Energy,Petroleum Refining,San Ramon,CA
Cardinal Health,"$129,976 ","$1,288.00 ","$40,112 ","40,400",Wholesalers,Wholesalers: Health Care,Dublin,OH
Costco,"$129,025 ","$2,679.00 ","$36,347 ","182,000",Retailing,General Merchandisers,Issaquah,WA
Verizon,"$126,034 ","$30,101.00 ","$257,143 ","155,400",Telecommunications,Telecommunications,New York,NY
Kroger,"$122,662 ","$1,907.00 ","$37,197 ","449,000",Food &  Drug Stores,Food and Drug Stores,Cincinnati,OH
General Electric,"$122,274 ","($5,786.00)","$377,945 ","313,000",Industrials,Industrial Machinery,Boston,MA
Walgreens Boots Alliance,"$118,214 ","$4,078.00 ","$66,009 ","290,000",Food &  Drug Stores,Food and Drug Stores,Deerfield,IL
JPMorgan Chase,"$113,899 ","$24,441.00 ","$2,533,600 ","252,539",Financials,Commercial Banks,New York,NY
Fannie Mae,"$112,394 ","$2,463.00 ","$3,345,529 ","7,200",Financials,Diversified Financials,Leavenworth,WA
Alphabet,"$110,855 ","$12,662.00 ","$197,295 ","80,110",Technology,Internet Services and Retailing,Mountain View,CA
Home Depot,"$100,904 ","$8,630.00 ","$44,529 ","413,000",Retailing,Specialty Retailers: Other,Atlanta,GA
Bank of America Corp.,"$100,264 ","$18,232.00 ","$2,281,234 ","209,376",Financials,Commercial Banks,Charlotte,NC
Express Scripts Holding,"$100,065 ","$4,517.40 ","$54,256 ","26,600",Health Care,Health Care: Pharmacy and Other Services,St. Louis,MO
Wells Fargo,"$97,741 ","$22,183.00 ","$1,951,757 ","262,700",Financials,Commercial Banks,SF,CA
Boeing,"$93,392 ","$8,197.00 ","$92,333 ","140,800",Aerospace &  Defense,Aerospace and Defense,Chicago,IL
Phillips 66,"$91,568 ","$5,106.00 ","$54,371 ","14,600",Energy,Petroleum Refining,Houston,TX
Anthem,"$90,040 ","$3,842.80 ","$70,540 ","56,000",Health Care,Health Care: Insurance and Managed Care,Indianapolis,IN
Microsoft,"$89,950 ","$21,204.00 ","$241,086 ","124,000",Technology,Computer Software,Redmond,WA
Valero Energy,"$88,407 ","$4,065.00 ","$50,158 ","10,015",Energy,Petroleum Refining,San Antonio,TX
Citigroup,"$87,966 ","($6,798.00)","$1,842,465 ","209,000",Financials,Commercial Banks,New York,NY
Comcast,"$84,526 ","$22,714.00 ","$186,949 ","164,000",Telecommunications,Telecommunications,Philadelphia,PA
IBM,"$79,139 ","$5,753.00 ","$125,356 ","397,800",Technology,Information Technology Services,Armonk,NY
Dell Technologies,"$78,660 ","($3,728.00)","$122,281 ","145,000",Technology,"Computers, Office Equipment",Round Rock,TX
State Farm Insurance Cos.,"$78,331 ","$2,206.50 ","$272,345 ","65,664",Financials,Insurance: Property and Casualty (Mutual),Bloomington,IL
Johnson & Johnson,"$76,450 ","$1,300.00 ","$157,303 ","134,000",Health Care,Pharmaceuticals,New Brunswick,NJ
Freddie Mac,"$74,676 ","$5,625.00 ","$2,049,776 ","6,165",Financials,Diversified Financials,McLean,VA
Target,"$71,879 ","$2,934.00 ","$38,999 ","345,000",Retailing,General Merchandisers,Minneapolis,MN
Lowes,"$68,619 ","$3,447.00 ","$35,291 ","255,000",Retailing,Specialty Retailers: Other,Mooresville,NC
Marathon Petroleum,"$67,610 ","$3,432.00 ","$49,047 ","43,800",Energy,Petroleum Refining,Findlay,OH
Procter & Gamble,"$66,217 ","$15,326.00 ","$120,406 ","95,000",Household Products,Household and Personal Products,Cincinnati,OH
MetLife,"$66,153 ","$4,010.00 ","$719,892 ","49,000",Financials,"Insurance: Life, Health (stock)",New York,NY
UPS,"$65,872 ","$4,910.00 ","$45,403 ","346,415",Transportation,"Mail, Package, and Freight Delivery",Atlanta,GA
PepsiCo,"$63,525 ","$4,857.00 ","$79,804 ","263,000","Food, Beverages &  Tobacco",Food Consumer Products,Harrison,NY
Intel,"$62,761 ","$9,601.00 ","$123,249 ","102,700",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA
DowDuPont,"$62,683 ","$1,460.00 ","$192,164 ",98000,Chemicals,Chemicals,Midland,Michigan
Archer Daniels Midland,"$60,828 ","$1,595.00 ","$39,963 ","31,300","Food, Beverages &  Tobacco",Food Production,Chicago,IL
Aetna,"$60,535 ","$1,904.00 ","$55,151 ","47,950",Health Care,Health Care: Insurance and Managed Care,Hartford,CT
FedEx,"$60,319 ","$2,997.00 ","$48,552 ","357,000",Transportation,"Mail, Package, and Freight Delivery",Memphis,TN
United Technologies,"$59,837 ","$4,552.00 ","$96,920 ","204,700",Aerospace &  Defense,Aerospace and Defense,Farmington,CT
Prudential Financial,"$59,689 ","$7,863.00 ","$831,921 ","49,705",Financials,"Insurance: Life, Health (stock)",Newark,NJ
Albertsons Cos.,"$59,678 ",($373.30),"$23,755 ","273,000",Food &  Drug Stores,Food and Drug Stores,Boise,ID
Sysco,"$55,371 ","$1,142.50 ","$17,757 ","66,500",Wholesalers,Wholesalers: Food and Grocery,Houston,TX
Disney,"$55,137 ","$8,980.00 ","$95,789 ","199,000",Media,Entertainment,Burbank,CA
Humana,"$53,767 ","$2,448.00 ","$27,178 ","45,900",Health Care,Health Care: Insurance and Managed Care,Louisville,KY
Pfizer,"$52,546 ","$21,308.00 ","$171,797 ","90,200",Health Care,Pharmaceuticals,New York,NY
HP,"$52,056 ","$2,526.00 ","$32,913 ","49,000",Technology,"Computers, Office Equipment",Palo Alto,CA
Lockheed Martin,"$51,048 ","$2,002.00 ","$46,521 ","100,000",Aerospace &  Defense,Aerospace and Defense,Bethesda,MD
AIG,"$49,520 ","($6,084.00)","$498,301 ","49,800",Financials,Insurance: Property and Casualty (Stock),New York,NY
Centene,"$48,572 ",$828.00 ,"$21,855 ","33,700",Health Care,Health Care: Insurance and Managed Care,St. Louis,MO
Cisco Systems,"$48,005 ","$9,609.00 ","$129,818 ","72,900",Technology,Network and Other Communications Equipment,San Jose,CA
HCA Healthcare,"$47,653 ","$2,216.00 ","$36,593 ",221491,Health Care,Health Care: Medical Facilities,Nashville,TN
Energy Transfer Equity,"$47,487 ",$954.00 ,"$86,246 ","29,486",Energy,Pipelines,Dallas,TX
Caterpillar,"$45,462 ",$754.00 ,"$76,962 ","98,400",Industrials,Construction and Farm Machinery,Deerfield,IL
Nationwide,"$43,940 ",$246.50 ,"$221,257 ","33,135",Financials,Insurance: Property and Casualty (Mutual),Columbus,OH
Morgan Stanley,"$43,642 ","$6,111.00 ","$851,733 ","57,633",Financials,Commercial Banks,New York,NY
Liberty Mutual Insurance Group,"$42,687 ",$17.00 ,"$142,502 ","50,000",Financials,Insurance: Property and Casualty (Stock),Boston,MA
New York Life Insurance,"$42,296 ","$1,866.90 ","$303,183 ","11,114",Financials,"Insurance: Life, Health (Mutual)",New York,NY
Goldman Sachs Group,"$42,254 ","$4,286.00 ","$916,776 ","36,600",Financials,Commercial Banks,New York,NY
American Airlines Group,"$42,207 ","$1,919.00 ","$51,396 ","126,600",Transportation,Airlines,Fort Worth,TX
Best Buy,"$42,151 ","$1,000.00 ","$13,049 ","125,000",Retailing,Specialty Retailers: Other,Richfield,MN
Cigna,"$41,616 ","$2,237.00 ","$61,753 ","46,000",Health Care,Health Care: Insurance and Managed Care,Bloomfield,CT
Charter Communications,"$41,581 ","$9,895.00 ","$146,623 ","94,800",Telecommunications,Telecommunications,Stamford,CT
Delta Air Lines,"$41,244 ","$3,577.00 ","$53,292 ","86,564",Transportation,Airlines,Atlanta,GA
Facebook,"$40,653 ","$15,934.00 ","$84,524 ","25,105",Technology,Internet Services and Retailing,Menlo Park,CA
Honeywell International,"$40,534 ","$1,655.00 ","$59,387 ","131,000",Industrials,"Electronics, Electrical Equip.",Morris Plains,NJ
Merck,"$40,122 ","$2,394.00 ","$87,872 ","69,000",Health Care,Pharmaceuticals,Kenilworth,NJ
Allstate,"$38,524 ","$3,189.00 ","$112,422 ","42,680",Financials,Insurance: Property and Casualty (Stock),Northbrook,IL
Tyson Foods,"$38,260 ","$1,774.00 ","$28,066 ","122,000","Food, Beverages &  Tobacco",Food Production,Springdale,AR
United Continental Holdings,"$37,736 ","$2,131.00 ","$42,326 ","89,800",Transportation,Airlines,Chicago,IL
Oracle,"$37,728 ","$9,335.00 ","$134,991 ","138,000",Technology,Computer Software,Redwood City,CA
