Symbol,Company,Sector,PE_Ratio,CEO,Salary,Market Cap
DISCA,"Discovery, Inc.",Consumer Discretionary,11.0,David Zaslav,129499005,8763756733
ORCL,Oracle Corp.,Information Technology,18.81,Mark Hurd,108295023,202302349740
DIS,The Walt Disney Co.,Consumer Discretionary,17.78,Robert Iger,65645214,157817273295
FOXA,"Twenty-First Century Fox, Inc.",Consumer Discretionary,17.81,James Murdoch,50263861,44027094922
EL,"The Estee Lauder Companies, Inc.",Consumer Staples,37.78,Fabrizio Freda,48753819,49543264457
CBS,CBS Corp.,Consumer Discretionary,12.05,Leslie Moonves,47061688,20431395736
HOLX,"Hologic, Inc.",Health Care,19.21,Stephen MacMillan,42040142,11181493750
ALGN,"Align Technology, Inc.",Health Care,56.59,Joseph Hogan,41758338,18788041378
PYPL,"PayPal Holdings, Inc.",Information Technology,49.53,Daniel Schulman,37764588,90708000000
NFLX,"Netflix, Inc.",Information Technology,200.08,Reed Hastings,36080417,114805404842
EA,"Electronic Arts, Inc.",Information Technology,34.48,Andrew Wilson,35728764,37890226992
CTL,"CenturyLink, Inc.",Telecommunication Services,8.35,Jeffrey Storey,35655646,18237196861
CMCSA,Comcast Corp.,Consumer Discretionary,18.54,Brian Roberts,35026207,186476996883
ROP,"Roper Technologies, Inc.",Industrials,27.57,Brian Jellison,34931318,27247789759
DXC,DXC Technology Co.,Information Technology,79.93,J. Lawrie,32185309,27408621020
DVA,"DaVita, Inc.",Health Care,20.55,Kent Thiry,32017501,13685178000
ATVI,"Activision Blizzard, Inc.",Information Technology,31.8,Robert Kotick,30841004,52518668144
JPM,JPMorgan Chase & Co.,Financials,15.43,James Dimon,30033745,386613611000
T,"AT&T, Inc.",Telecommunication Services,12.14,Randall Stephenson,29118118,226713270000
ADBE,"Adobe, Inc.",Information Technology,52.31,Shantanu Narayen,28397528,94550214268
CRM,"salesforce.com, inc.",Information Technology,520.15,Marc Benioff,28391846,79489115000
PLD,"Prologis, Inc.",Real Estate,20.76,Hamid Moghadam,28201400,31953288000
MS,Morgan Stanley,Financials,14.23,James Gorman,28168639,97535400000
DOV,Dover Corp.,Industrials,23.87,Richard Tobin,27931401,15566645713
CAT,Caterpillar Inc.,Industrials,21.22,D. Umpleby III,27289513,91822049046
PRU,"Prudential Financial, Inc.",Financials,9.99,John Strangfeld,26696966,47136080000
BLK,"BlackRock, Inc.",Financials,22.49,Laurence Fink,26543344,85907759858
REGN,"Regeneron Pharmaceuticals, Inc.",Health Care,27.93,Leonard Schleifer,26520555,35950369241
CNC,Centene Corp.,Health Care,19.12,Michael Neidorff,26122414,18012494506
GILD,"Gilead Sciences, Inc.",Health Care,8.16,John Milligan,25961831,108106822109
MSFT,Microsoft Corp.,Information Technology,25.76,Satya Nadella,25843263,689978437468
AMP,"Ameriprise Financial, Inc.",Financials,12.41,James Cracchiolo,25742524,23472126000
LLL,"L3 Technologies, Inc.",Industrials,23.14,Christopher Kubasik,25511433,16229343134
PEP,"PepsiCo, Inc.",Consumer Staples,21.51,Indra Nooyi,24491117,161413271020
ABT,Abbott Laboratories,Health Care,22.51,Miles White,24254238,102121042306
AXP,American Express Co.,Financials,15.0,Kenneth Chenault,24208661,80410990000
NOC,Northrop Grumman Corp.,Industrials,24.4,Wesley Bush,24185259,58782413951
C,Citigroup Inc.,Financials,13.48,Michael Corbat,24183714,192709302000
OMC,"Omnicom Group, Inc.",Consumer Discretionary,15.27,John Wren,23945128,17377551986
WMT,"Walmart, Inc.",Consumer Staples,23.1,C. McMillon,23618233,304680931618
UHS,"Universal Health Services, Inc.",Health Care,15.36,Alan Miller,23588883,11116075286
TDG,"TransDigm Group, Inc.",Industrials,23.76,Kevin Stein,23471608,15241203731
