X,Y,FID,OBJECTID,RANK,Company,ADDRESS,ADDRESS2,City,State,ZIP,COUNTY,EMPLOYEES,REVENUES,LATITUDE,LONGITUDE,SOURCE,PRC,COUNTYFIPS,COMMENTS,WEBSITE,PROFIT
-116.18099,43.59974,1,1,49,Albertsons Cos.,250 PARKCENTER BOULEVARD,NOT AVAILABLE,Boise,ID,83706,ADA,274000,58734,43.59974,-116.18099,BING MAPS,ADDRESS,16001,NOT AVAILABLE,HTTPS://WWW.ALBERTSONS.COM/#1,-502.2
-116.14697,43.52925,2,2,226,Micron Technology,8000 SOUTH FEDERAL WAY,NOT AVAILABLE,Boise,ID,83716,ADA,31400,12399,43.52925,-116.14697,BING MAPS,ADDRESS,16001,NOT AVAILABLE,HTTPS://WWW.MICRON.COM/,-276
-79.43739,36.09317,3,3,290,Laboratory Corp. Of America,358 SOUTH MAIN STREET,NOT AVAILABLE,Burlington,NC,27215,ALAMANCE,52000,9642,36.09317,-79.43739,BING MAPS,ADDRESS,37001,NOT AVAILABLE,HTTPS://WWW.LABCORP.COM/,732.1
-121.95694,37.4886,4,4,440,Lam Research,4650 CUSHING PARKWAY,NOT AVAILABLE,Fremont,CA,94538,ALAMEDA,7500,5886,37.4886,-121.95694,BING MAPS,ADDRESS,6001,NOT AVAILABLE,HTTPS://WWW.LAMRESEARCH.COM/,914
-121.97965,37.49628,5,5,198,Synnex,44201 NOBEL DRIVE,NOT AVAILABLE,Fremont,CA,94538,ALAMEDA,110000,14062,37.49628,-121.97965,BING MAPS,ADDRESS,6001,NOT AVAILABLE,HTTPS://WWW.SYNNEXCORP.COM/,234.9
-121.89039,37.71041,6,6,219,Ross Stores,5130 HACIENDA DRIVE,NOT AVAILABLE,Dublin,CA,94568,ALAMEDA,78600,12867,37.71041,-121.89039,BING MAPS,ADDRESS,6001,NOT AVAILABLE,HTTPS://WWW.ROSSSTORES.COM/,1117.7
-122.27237,37.80348,7,7,453,Clorox,1221 BROADWAY,NOT AVAILABLE,Oakland,CA,94612,ALAMEDA,8000,5761,37.80348,-122.27237,BING MAPS,ADDRESS,6001,NOT AVAILABLE,HTTPS://WWW.THECLOROXCOMPANY.COM/,648
-80.2658,40.50779,8,8,340,Dick'S Sporting Goods,345 COURT STREET,NOT AVAILABLE,Coraopolis,PA,15108,ALLEGHENY,27550,7922,40.50779,-80.2658,BING MAPS,ADDRESS,42003,NOT AVAILABLE,HTTPS://WWW.DICKSSPORTINGGOODS.COM/,287.4
-79.99485,40.44136,9,9,279,United States Steel,600 GRANT STREET,NOT AVAILABLE,Pittsburgh,PA,15219,ALLEGHENY,29800,10261,40.44136,-79.99485,BING MAPS,ADDRESS,42003,NOT AVAILABLE,HTTPS://WWW.USSTEEL.COM/,-440
-80.00437,40.43329,10,10,373,Wesco International,225 WEST STATION SQUARE DRIVE,NOT AVAILABLE,Pittsburgh,PA,15219,ALLEGHENY,9000,7336,40.43329,-80.00437,BING MAPS,ADDRESS,42003,NOT AVAILABLE,HTTPS://WWW.WESCO.COM/,101.6
